Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Contact Email,Phone Number,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount
Abl Schools,https://www.crunchbase.com/organization/abl-schools,"EdTech, Education, Software","San Francisco, California, United States",Abl Schools is building a new kind of school operations software that helps school leaders better manage their time and resources.,"9,071",http://www.ablschools.com/,https://www.linkedin.com/company/7790227?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A7790227%2Cidx%3A3-1-4%2CtarId%3A1459537435092%2Ctas%3Aabl%20schoo,info@ablschools.com,,Adam Pisoni,10-Jan,2,Early Stage Venture,6/29/17,"$7,500,000 ",Series A,"$12,000,000 "
Scripted.com,https://www.crunchbase.com/organization/scripted,"Content Creators, Crowdsourcing, E-Commerce, Freelance","San Francisco, California, United States",Scripted provides freelance writing services for small businesses.,"9,157",http://www.scripted.com,http://www.linkedin.com/company/scripted-com,ryan@scripted.com,(800) 797-4470,"Ryan Buckley, Sunil Rajaraman",Nov-50,4,Early Stage Venture,11/25/14,"$9,000,000 ",Series B,"$14,500,000 "
nWay,https://www.crunchbase.com/organization/nway,"Casual Games, Video Games","San Francisco, California, United States",nWay develops and publishes online mobile multiplayer games.,"9,171",http://nway.com,,info@nway.com,415-778-2866,"Dave Jones, Taehoon Kim, Tony Harman",Nov-50,3,Early Stage Venture,12/13/17,"$11,000,000 ",Series B,"$20,000,000 "
Bluebox,https://www.crunchbase.com/organization/bluebox,"Apps, Cloud Security, Information Technology, Mobile, Mobile Devices, Security, Software","San Francisco, California, United States","Bluebox offers software that secures company data as it interacts with employee mobile devices, apps and services.","9,230",http://www.bluebox.com,http://www.linkedin.com/company/bluebox-security,info@bluebox.com,415-344-0373,Caleb Sima,Nov-50,2,M&A,1/20/14,"$18,000,000 ",Series B,"$27,500,000 "
Judicata,https://www.crunchbase.com/organization/judicata,"Analytics, Legal, SaaS","San Francisco, California, United States",Judicata is a legal technology company providing research and analytics tools to turn unstructured case law into structured data.,"9,263",http://www.judicata.com,,contact@judicata.com,16507998398,"Adam Hahn, Blake Masters, Itai Gurari",Nov-50,2,Early Stage Venture,5/28/13,"$5,800,000 ",Series A,"$7,800,000 "
Avametric,https://www.crunchbase.com/organization/avametric,"E-Commerce, Fashion, Retail, Software","San Francisco, California, United States","Avametric is a digital 3D software platform that provides automated content creation for brands, retail, and e-commerce sales tools.","9,299",http://www.avametric.com,https://www.linkedin.com/company/avametric,info@avametric.com,,"David Jackson, James O'Brien",Nov-50,3,Early Stage Venture,3/10/16,"$10,500,000 ",Series A,"$10,620,000 "
Verbling,https://www.crunchbase.com/organization/verbling,"E-Learning, EdTech, Education, Video Chat","San Francisco, California, United States",Verbling is an e-learning platform that offers language lessons with professional teachers with the use of video chat.,"9,353",https://www.verbling.com,https://www.linkedin.com/company/verbling,,,"Gustav Rydstedt, Jake Jolis, Mikael Bernstein",Nov-50,4,Early Stage Venture,12/12/14,"$2,700,000 ",Series A,"$3,720,000 "
test IO,https://www.crunchbase.com/organization/testcloud-de,"Crowdsourcing, Enterprise Software, SaaS, Test and Measurement","San Francisco, California, United States","test IO helps ship software faster with continuous professional testing, on demand.","9,360",https://test.io/,http://linkedin.com/company/test-io,info@testcloud.io,(415)915-3715,"Frederik Fleck, Jan Schwenzien, Thomas Gruderich",Nov-50,2,Early Stage Venture,11/18/15,"$5,000,000 ",Series A,"$5,000,000 "
Sqor Sports,https://www.crunchbase.com/organization/sqor-com,"Mobile, Social Media, Social Media Marketing, Sports","San Francisco, California, United States","Sqor Sports is a social media and editorial sports technology platform revolving exclusively around sports, athletes and fans.","9,381",http://www.sqor.com,http://www.linkedin.com/company/sqor,sales@sqor.com,415-787-0005,Brian Wilhite,Nov-50,1,Early Stage Venture,2/4/14,"$4,000,000 ",Series A,"$4,000,000 "
Gixo,https://www.crunchbase.com/organization/gixo,"E-Learning, Fitness, Training","San Francisco, California, United States",Limited Info.,"9,521",http://gixo.com,https://www.linkedin.com/company-beta/10820666/,support@gixo.com,,"Al Lieb, Selina Tobaccowala",Nov-50,1,Early Stage Venture,5/25/17,"$3,700,000 ",Series A,"$3,700,000 "
EcoFlow Tech,https://www.crunchbase.com/organization/ecoflow-tech,"Clean Energy, Consumer Electronics, Electronics, Energy, Energy Efficiency, Solar","San Francisco, California, United States","EcoFlow Tech designs, develops and manufactures eco-friendly and affordable portable power stations for personal and professional use.","9,625",https://ecoflowtech.com/,https://www.linkedin.com/company/ecoflowtech/,support@ecoflowtech.com,,"Eli Harris, Fan Zheng, Hannah  Sieber, Lei Wang",Nov-50,1,Early Stage Venture,4/27/18,"$4,800,000 ",Series A,"$4,800,000 "
Yours,https://www.crunchbase.com/organization/yours,"Bitcoin, Blockchain, Content, Social Network","San Francisco, California, United States",Yours is a blockchain-based social network where users can earn bitcoin.,"9,769",https://www.yours.org/,,ryan@yours.org,,"Clemens Ley, Ryan Charles",10-Jan,2,Early Stage Venture,1/15/18,"$1,500,000 ",Series A,"$1,677,500 "
Apsalar,https://www.crunchbase.com/organization/apsalar,"Advertising, Analytics, Apps, Data Integration, iOS, Mobile, Software","San Francisco, California, United States","Apsalar is now part of Singular. Singular‰Ûªs platform delivers attribution, cost aggregation, creative reporting & workflow automation.","9,809",https://apsalar.com,http://www.linkedin.com/company/apsalar,contact@singular.net,(415)590-8041,"Fazal Majid, Michael Oiknine, Philippe Suchet, Steve Reiss",Nov-50,4,M&A,11/19/15,"$8,000,000 ",Series C,"$22,800,000 "
Lively Inc.,https://www.crunchbase.com/organization/lively-formerly-hamlet,"Elderly, Hardware, Internet of Things, mHealth, Software","San Francisco, California, United States",Lively is the connected home health platform that provides a medical alert device older adults actually want to wear,"9,833",http://www.mylively.com,,hello@mylively.com,415-471-7272,"David Glickman, Iggy Fanlo, Keith Dutton",Nov-50,2,M&A,9/18/13,"$4,800,000 ",Series A,"$7,400,000 "
Bright.com,https://www.crunchbase.com/organization/bright-com,"Big Data, Recruiting","San Francisco, California, United States","Bright uses artificial intelligence (AI) to connect job seekers to their best opportunities, and employers to their top prospects.","9,939",http://www.bright.com,https://www.linkedin.com/in/davekerpen,info@bright.com,,Eduardo Vivas,Nov-50,2,M&A,9/18/13,"$14,000,000 ",Series B,"$20,000,000 "
RingDNA,https://www.crunchbase.com/organization/ringdna,"CRM, Predictive Analytics, Sales Automation","San Francisco, California, United States",RingDNA is an enterprise sales acceleration engine and AI-powered voice communications platform. ,"9,973",http://www.ringdna.com,http://www.linkedin.com/company/ringdna,,888.815.0802,Howard Brown,Nov-50,5,Early Stage Venture,3/6/18,,Series A,"$5,600,000 "
Assist,https://www.crunchbase.com/organization/assist,"Android, Apps, Mobile, Travel","San Francisco, California, United States",The Enterprise Chatbot Platform for Messaging and Voice,"10,128",http://assi.st,,hi@assi.st,3094538175,"Giovanni Walter Vatieri, Peter Boctor, Robert Stephens, Shane Mac",Nov-50,2,Early Stage Venture,4/1/15,"$4,000,000 ",Series A,"$5,500,000 "
SightCall,https://www.crunchbase.com/organization/sightcall,"Apps, Cloud Computing, Developer APIs, Enterprise Software, Mobile, Video, Video Chat","San Francisco, California, United States",SightCall is a video cloud platform enabling AR-powered video assistance,"10,129",http://www.sightcall.com/,https://www.linkedin.com/company/sightcall,support@sightcall.com,(415)834-5599,"Antoine Vervoort, Thomas Cottereau",Nov-50,2,Early Stage Venture,10/9/15,"$8,400,000 ",Series B,"$9,700,000 "
Velano Vascular,https://www.crunchbase.com/organization/velano-vascular,"Health Care, Medical, Medical Device","San Francisco, California, United States",Velano Vascular's technologies transform care by reducing the stress and anxiety related to blood draws during hospitalization.,"10,177",http://velanovascular.com,http://www.linkedin.com/company/velanovascular,info@velanovascular.com,650-537-4504,"Eric Stone, Pitamber Devgon, MD",10-Jan,4,Early Stage Venture,3/7/17,"$17,000,000 ",Series B,"$26,200,000 "
imgix,https://www.crunchbase.com/organization/imgix,"Developer Tools, Hardware, Internet","San Francisco, California, United States",Imgix is a hosted service that provides the simplest way to deliver the highest quality images to users as fast as possible.,"10,196",https://www.imgix.com,http://www.linkedin.com/company/3825637,contact@imgix.com,(415) 484-5964,"Chris Zacharias, Jeremy Larkin",Nov-50,5,Early Stage Venture,10/20/16,"$3,999,994 ",Series A,"$11,163,994 "
ViewPoint Therapeutics,https://www.crunchbase.com/organization/viewpoint-therapeutics,"Biotechnology, Medical, Therapeutics","San Francisco, California, United States",ViewPoint Therapeutics is a biotechnology company,"10,235",http://www.viewpointtherapeutics.com/,,info@viewpointtherapeutics.com,,"Jason Gestwicki, Leah Makley",10-Jan,2,Early Stage Venture,3/5/18,"$35,000,000 ",Series B,"$39,000,000 "
Catch.com,https://www.crunchbase.com/organization/catch-com,"Android, iOS, Mobile","San Francisco, California, United States",Catch.com creates note-taking and mobile productivity apps for Android and iOS smartphones and tablets.,"10,376",http://catch.com,,feedback@catch.com,,"Andreas Schobel, Steve Brown",Nov-50,2,M&A,2/15/11,"$7,000,000 ",Series A,"$9,300,000 "
Kitchit,https://www.crunchbase.com/organization/kichit,"Customer Service, Housekeeping Service, Restaurants","San Francisco, California, United States",Kitchit brings local chefs to private households to do the cooking.,"10,384",http://www.kitchit.com,http://www.linkedin.com/company/kitchit,concierge@kitchit.com,,"Brendan Marshall, Ian Ferguson",Nov-50,3,Early Stage Venture,12/9/14,"$7,500,000 ",Series A,"$8,100,000 "
LifeDojo Inc.,https://www.crunchbase.com/organization/lifedojo,"Health Care, Lifestyle, Medical","San Francisco, California, United States",The Grassroots Workplace Wellbeing Company,"10,402",http://www.lifedojo.com/,https://www.linkedin.com/company/lifedojo-inc-,connect@lifedojo.com,(866)714-4473,"Chris Cutter, Patricia Bedard",Nov-50,4,Early Stage Venture,2/7/17,"$5,100,000 ",Series A,"$7,025,000 "
Wheelz,https://www.crunchbase.com/organization/wheelz,"Automotive, Collaborative Consumption, Sharing Economy","San Francisco, California, United States",Wheelz provides a car sharing platform facilitating economic opportunities for car owners by leasing their vehicles to non-owners.,"10,434",http://www.wheelz.com,https://www.linkedin.com/company-beta/2439100/?pathWildcard=2439100,info@wheelz.com,,"Akhtar Jameel, Jeff Miller",Nov-50,2,M&A,2/22/12,"$13,700,000 ",Series A,"$15,700,000 "
Tempest Therapeutics,https://www.crunchbase.com/organization/tempest-therapeutics,"Biotechnology, Health Care, Therapeutics","San Francisco, California, United States",Tempest Therapeutics is a development-stage biotechnology company.,"10,548",http://www.tempesttx.com/,https://www.linkedin.com/company/tempesttx/?originalSubdomain=in,partnering@tempesttx.com,,,10-Jan,1,Early Stage Venture,3/28/18,"$70,000,000 ",Series B,"$70,000,000 "
OmnyWay,https://www.crunchbase.com/organization/omnypay,"E-Commerce, Information Services, Information Technology, Payments","San Francisco, California, United States","Omnyway empowers retailers, banks and brands through its contextual digital commerce platform","10,550",http://www.omnyway.com/,https://www.linkedin.com/company/6601421/,info@omnyway.com,(415) 915-9990,"Ashok Narasimhan, Bill Melton, Mohammad Khan",Nov-50,3,Early Stage Venture,10/12/17,"$12,750,000 ",Series A,"$14,250,000 "
Vacatia,https://www.crunchbase.com/organization/vacatia,"E-Commerce, Marketplace, Resorts, Travel","San Francisco, California, United States","Vacatia is the resort marketplace for vacationing families, whose mission is to make family vacations better","10,630",https://vacatia.com,http://www.linkedin.com/company/vacatia,caroline@vacatia.com,1(855) 382-7100,"Caroline Shin, Keith Cox, Michael Burns",Nov-50,3,Early Stage Venture,9/8/16,"$2,120,000 ",Series A,"$15,920,000 "
Bitnet Technologies,https://www.crunchbase.com/organization/bitnet-technologies,"Bitcoin, Cryptocurrency, E-Commerce, Payments","San Francisco, California, United States",The world‰Ûªs digital commerce platform.,"10,650",https://bitnet.io/,http://www.linkedin.com/company/bitnet-technologies-ltd-?,info@bitnet.io,,"John McDonnell, Stephen McNamara",Nov-50,2,M&A,10/20/14,"$12,000,000 ",Series A,"$14,500,000 "
Identified,https://www.crunchbase.com/organization/identified-com,"Analytics, Recruiting, Social Media, Social Recruiting","San Francisco, California, United States","Identified, a big data and analytics company, pioneers a technology transforming social data from Facebook into professional intelligence.","10,697",http://www.identified.com,http://www.linkedin.com/company/identified,info@identified.com,(192) 595-1900,"Adeyemi Ajao, Brendan Wallace",Nov-50,4,M&A,6/5/12,"$21,000,000 ",Series B,"$22,500,000 "
Pionyr Immunotherapeutics,https://www.crunchbase.com/organization/pionyr-immunotherapeutics,"Biotechnology, Medical, Pharmaceutical, Therapeutics","San Francisco, California, United States",Pionyr develops drugs to perform exceptional fine-tuning of immune responses.,"10,806",http://www.precisionimmune.com/,https://www.linkedin.com/company/pionyr-immunotherapeutics,admin@pionyrtx.com,(415)226-7503,"Max Krummel, Sachdev Sidhu",10-Jan,2,Early Stage Venture,12/13/17,"$62,000,000 ",Series B,"$70,000,000 "
Vouch Financial,https://www.crunchbase.com/organization/vouch-financial,"Credit, Financial Services, Personal Finance","San Francisco, California, United States",Vouch is bringing friend-powered finance to the lending industry. Vouch believes that you should get credit for having such good friends.,"10,810",http://vouch.com,https://www.linkedin.com/company/vouch,support@vouch.com,(888) 449-3593,"Hugh Olliphant, Sue Korn, Yee Lee",Nov-50,3,Early Stage Venture,5/14/15,"$6,000,000 ",Series A,"$8,999,998 "
Coach.me,https://www.crunchbase.com/organization/lift-worldwide,"Health Care, Quantified Self, Software","San Francisco, California, United States",A platform to connect to the top coaches in the world.,"10,821",http://coach.me,,tony@coach.me,,"Jon Crosby, Tony Stubblebine",10-Jan,3,Early Stage Venture,12/17/14,"$1,100,000 ",Series A,"$3,600,000 "
Pared,https://www.crunchbase.com/organization/pared,"Food and Beverage, Marketplace, Restaurants, Service Industry","San Francisco, California, United States",Pared is an on-demand tool for restaurant workers.,"10,845",http://www.pared.com,https://www.linkedin.com/company/6613681,hello@pared.com,855-444-4795,"Dave Lu, Will Pacio",Nov-50,3,Early Stage Venture,6/26/18,"$10,000,000 ",Series A,"$13,000,000 "
Fantex,https://www.crunchbase.com/organization/fantex,"Financial Exchanges, FinTech, Sports","San Francisco, California, United States",Creating a non-correlated asset category with stocks tied to the earnings of professional athletes.,"10,849",https://fantex.com,http://www.linkedin.com/company/fantex-inc-,support@fantex.com,855-905-5050,"Buck French, David Beirne, David Mullin",Nov-50,4,Late Stage Venture,12/1/14,"$18,000,000 ",Series C,"$50,999,999 "
Placecast,https://www.crunchbase.com/organization/placecast,"Advertising Platforms, Database, DSP, Location Based Services, Mobile, Mobile Advertising","San Francisco, California, United States","Placecast is a location intelligence platform that leverages carrier data to deliver better audience, verification, and insight solutions.","10,971",http://www.placecast.net,https://www.linkedin.com/company-beta/299573/,,,"Anne Bezancon, Daniel Parkes",Nov-50,2,M&A,3/1/10,"$3,000,000 ",Series B,"$8,000,000 "
Choose Energy,https://www.crunchbase.com/organization/choose-energy,"Consumer, Energy, Information Services","San Francisco, California, United States",Choose Energy is an internet utilities search engine that allows the user to find and compare prices.,"11,006",https://www.chooseenergy.com/,https://www.linkedin.com/company/152099,support@chooseenergy.com,(800)532-8856,Jerry Dyess,Nov-50,4,M&A,3/15/15,"$14,200,000 ",Series C,"$25,700,000 "
Swipe Labs,https://www.crunchbase.com/organization/swipe-labs-2,"Computer, Enterprise Software, Information Technology, Mobile, Software","San Francisco, California, United States",Swipe allows the users to see the photos and videos of their friends that is not posted on Facebook.,"11,010",https://joinswipe.com/,https://www.linkedin.com/company/swipe-labs,hello@channel.wtf,,"Addison Hardy, Marwan Roushdy",Nov-50,2,M&A,1/29/15,"$6,500,000 ",Series A,"$8,200,000 "
WellnessFX,https://www.crunchbase.com/organization/wellnessfx,"Health Care, Life Science, Web Hosting","San Francisco, California, United States",WellnessFX‰ã¢ is a breakthrough web-based service that empowers individuals to understand and improve their health.,"11,013",http://www.wellnessFX.com,,info@wellnessfx.com,,"Brent Vaughan, Jim Kean",Nov-50,2,Early Stage Venture,12/12/11,"$4,000,000 ",Series B,"$15,000,000 "
Speakeasy,https://www.crunchbase.com/organization/speakeasy-3,"Apps, Software","San Francisco, California, United States",Speakeasy is the only online meeting solution that updates your CRM and tells you what to do next to close more sales.,"11,030",http://www.speakeasy.co/,https://www.linkedin.com/company/speakeasy-tech?trk=mini-profile,feedback@speakeasy.co,,"John Brody, Kristina Shen, Reza Mohsin",Nov-50,1,Early Stage Venture,5/19/15,"$5,000,000 ",Series A,"$5,000,000 "
Inverse,https://www.crunchbase.com/organization/inverse,"Digital Media, Information Technology, Internet","San Francisco, California, United States","A San Francisco, CA-based media company that targets a millennial male audience","11,041",https://www.inverse.com/,https://www.linkedin.com/company/inverse-com?trk=ppro_cprof,,,"David Nemetz, John Degner, Michael Schaefermeyer, Steve Marshall, Winton Welsh",Nov-50,3,Early Stage Venture,9/26/16,"$6,000,000 ",Series A,"$6,000,000 "
"Savonix, Inc.",https://www.crunchbase.com/organization/savonix,"Information Services, Information Technology, Skill Assessment","San Francisco, California, United States","Savonix brings you the world‰Ûªs first clinical, evidence-based, all-mobile digital assessment of cognitive and emotional function.","11,086",http://savonix.com/,https://www.linkedin.com/company/savonix-inc-,,(415)866-7231,Mylea Charvat,Nov-50,2,Early Stage Venture,6/6/17,"$5,100,000 ",Series A,"$6,600,000 "
GraphWear Technologies Inc.,https://www.crunchbase.com/organization/graphwear-technologies-inc,"Health Care, Medical Device, Nanotechnology","San Francisco, California, United States",Replacing blood tests with sweat tests,"11,157",http://www.graphwear.co,https://www.linkedin.com/company/graphwear-technologies-inc-,info@graphwear.co,(317) 661-1364,"Rajatesh Gudibande, Saurabh Radhakrishnan",10-Jan,4,Early Stage Venture,4/17/18,"$4,200,000 ",Series A,"$4,700,000 "
"Stitcher, Inc.",https://www.crunchbase.com/organization/stitcher-2,"Advertising, Mobile, Music, News, Podcast, Sports","San Francisco, California, United States","Stitcher, Inc. develops Stitcher, a mobile application for news and shows.","11,252",https://www.stitcher.com/,http://www.linkedin.com/company/stitcher,info@stitcher.com,(415)956-1801,"Mike Ghaffary, Noah Shanok, Peter deVroede",Nov-50,3,M&A,9/21/11,"$10,000,000 ",Series C,"$16,100,000 "
Ava Winery,https://www.crunchbase.com/organization/ava-winery,"Food and Beverage, Food Processing, Wine And Spirits","San Francisco, California, United States",Ava is creating the world‰Ûªs first wines without grapes or fermentation by analyzing fine vintages on a molecular basis.,"11,256",http://www.avawinery.com/,,alec@avawinery.com,,"Alec Lee, Mardonn Chua",10-Jan,2,Early Stage Venture,12/21/17,,Series A,"$2,700,000 "
Threadflip,https://www.crunchbase.com/organization/threadflip,"E-Commerce, Fashion, Peer to Peer, Shopping","San Francisco, California, United States","Threadflip is an online destination for selling and buying clothes for women, creating a peer-to-peer shopping experience.","11,264",http://www.threadflip.com,http://www.linkedin.com/company/threadflip,,,"Jeff Shiau, Manik Singh",Nov-50,3,Early Stage Venture,7/18/14,"$13,000,000 ",Series B,"$21,100,000 "
Storenvy,https://www.crunchbase.com/organization/storenvy,"E-Commerce, Social Media, Web Development","San Francisco, California, United States","Storenvy, a community of online stores, provides an e-commerce network enabling users to shop across multiple stores.","11,297",http://www.storenvy.com,,info@storenvy.com,14157660363,"Jon Crawford, Nick Roccanti, Scott Anderson",Nov-50,2,M&A,2/12/13,"$5,000,000 ",Series A,"$6,525,000 "
Biba,https://www.crunchbase.com/organization/biba,"Apps, Messaging, Mobile","San Francisco, California, United States",Biba is a mobile-first business conferencing and messaging app that helps people get in touch instantly.,"11,302",http://www.biba.com,,support@biba.com,,"Adam Marks, Carlin Wiegner, Eric Yoo, John D'Alessio",Nov-50,2,M&A,6/25/13,"$15,000,000 ",Series B,"$15,515,000 "
Springshot,https://www.crunchbase.com/organization/springshot,"Artificial Intelligence, Enterprise Software, Gamification, Machine Learning, Mobile, Mobile Apps, Predictive Analytics, SaaS","San Francisco, California, United States","Springshot is a mobile technology platform that recruits, trains, directs, and motivates frontline service workers.","11,361",http://springshot.com,https://www.linkedin.com/company/springshot-inc-/,info@springshot.com,650-872-5403,Doug Kreuzkamp,Nov-50,3,Early Stage Venture,7/22/17,"$11,700,000 ",Series B,"$17,800,000 "
Miroculus,https://www.crunchbase.com/organization/miroculus,"Health Care, Health Diagnostics, Information Technology","San Francisco, California, United States",Miroculus is a hands off sample-to-answer solution for molecular testing.,"11,383",http://www.miroculus.com,https://www.linkedin.com/company/miroculus,,,Alejandro Tocigl,10-Jan,4,Early Stage Venture,10/31/16,,Series A,"$2,850,000 "
Nitrous,https://www.crunchbase.com/organization/nitrous-io,"Cloud Computing, Developer Tools, Enterprise Software, iOS, PaaS, Software, Web Development","San Francisco, California, United States",Nitrous offers web applications development.,"11,437",http://www.nitrous.io,http://www.linkedin.com/company/nitrous-io,hello@nitrous.io,,"Andrew Solimine, Peter Jihoon Kim",Nov-50,2,Early Stage Venture,3/18/14,"$6,650,000 ",Series A,"$7,650,000 "
Koding,https://www.crunchbase.com/organization/koding,"Cloud Computing, Collaboration, Real Time","San Francisco, California, United States",Development Environment Automation,"11,467",https://www.koding.com,https://www.linkedin.com/company/1700374,hello@koding.com,,"Devrim Yasar, Sinan Yasar",Nov-50,3,Early Stage Venture,8/3/15,"$10,000,000 ",Series B,"$19,250,000 "
SKULLY,https://www.crunchbase.com/organization/skully-helmets,"Augmented Reality, Automotive, Consumer Electronics, Public Safety, Wearables","San Francisco, California, United States",Augmented Reality Motorcycle Helmets,"11,596",http://www.skully.com/,https://www.linkedin.com/company/skully-helmets,connect@skully.com,,"Marcus Weller, Mitch Weller",Nov-50,4,Early Stage Venture,2/27/15,"$11,000,000 ",Series A,"$14,950,000 "
Switch Automation,https://www.crunchbase.com/organization/switch-automation,"Analytics, Green Building, Information Technology, Internet of Things, SaaS, Smart Building, Software","San Francisco, California, United States","Switch Automation is a leading provider of smart building, analytics and automation solutions for buildings and property portfolios.","11,603",https://www.switchautomation.com,https://www.linkedin.com/company/switch-automation,contact@switchautomation.com,14157125374,"Deb Noller, John Darlington",Nov-50,2,Early Stage Venture,9/21/17,"$3,800,000 ",Series A,"$6,000,000 "
Forge,https://www.crunchbase.com/organization/forge-3,"Broadcasting, Video, Video Games","San Francisco, California, United States","Fast, automatic, always-on game capture. Never miss a moment with Forge.","11,648",http://forge.gg,,team@forge.gg,,Jared Kim,10-Jan,2,Early Stage Venture,6/9/16,"$4,500,000 ",Series A,"$9,000,000 "
ElasticBox,https://www.crunchbase.com/organization/elasticbox,"Cloud Computing, Enterprise Software, Information Technology","San Francisco, California, United States",ElasticBox powers agile application delivery on public and private clouds so businesses can innovate faster.,"11,690",http://www.elasticbox.com,http://www.linkedin.com/company/elasticbox,info@elasticbox.com,415-766-0907,"Alberto Arias Maestro, Amadeo Casas, Ravi Srivatsav",Nov-50,3,M&A,4/2/14,"$9,000,000 ",Series A,"$13,600,000 "
LearnSprout,https://www.crunchbase.com/organization/learnsprout,"Analytics, Big Data, EdTech, Education, Predictive Analytics","San Francisco, California, United States",LearnSprout is the first and only solution that makes big data analytics possible for non-technical educators.,"11,709",http://learnsprout.com,http://www.linkedin.com/LearnSprout,,,"Anthony Wu, Franklyn Chien, Joe Woo",Nov-50,2,M&A,5/13/14,"$4,200,000 ",Series A,"$4,700,000 "
Runscope,https://www.crunchbase.com/organization/runscope,"Cloud Infrastructure, Developer APIs, Developer Tools, Enterprise Software","San Francisco, California, United States",Runscope develops tools that support the modern application development life cycle.,"11,785",http://www.runscope.com,http://www.linkedin.com/company/runscope,hi@runscope.com,,"Frank Stratton, John Sheehan",Nov-50,4,M&A,4/10/14,"$6,000,000 ",Series A,"$7,100,000 "
Appurify,https://www.crunchbase.com/organization/appurify,"Android, Apps, iOS, Mobile, Test and Measurement","San Francisco, California, United States",Appurify enables mobile test automation on real devices for mobile teams to build better apps.,"11,816",http://appurify.com,http://www.linkedin.com/company/appurify-inc-,info@appurify.com,4157285569,"Jay Srinivasan, Manish Lachwani, Pratyus Patnaik, RJ JAIN",Nov-50,2,M&A,5/28/13,"$4,500,000 ",Series A,"$6,250,000 "
Clara Foods,https://www.crunchbase.com/organization/clara-foods,"Bakery, Nutrition, Sustainability","San Francisco, California, United States",Clara Foods is reimagining the egg - starting with egg whites.,"11,910",http://www.clarafoods.com/,https://www.linkedin.com/company/6595940,arturo@clarafoods.com,,"Arturo Elizondo, David Anchel",Nov-50,5,Early Stage Venture,7/25/16,,Series A,"$3,450,000 "
Sosh,https://www.crunchbase.com/organization/sosh,"Apps, Mobile, Social Media","San Francisco, California, United States","Sosh is a social mobile app that enables members to discover local activities, events and places.","11,967",http://sosh.com,http://www.linkedin.com/company/sosh,hello@offlinelabs.com,,"Rishi Mandal, Rod Begbie, Vivek Patel",Nov-50,4,M&A,8/13/13,"$10,100,000 ",Series B,"$16,254,000 "
Elevate Labs,https://www.crunchbase.com/organization/elevate-labs,"Analytics, Apps, Communication Hardware","San Francisco, California, United States",Elevate is a new type of cognitive training tool designed to build communication and analytical skills.,"12,004",http://elevateapp.com/,https://www.linkedin.com/company/6626130,,,"Jesse Pickard, Karl Stenerud",Nov-50,2,Early Stage Venture,8/3/12,"$6,500,000 ",Series A,"$7,700,000 "
Flock (helloflock.com),https://www.crunchbase.com/organization/flock-5,"Employee Benefits, Human Resources, SaaS, Software","San Francisco, California, United States","Flock is an all-in-one software platform to manage HR, Benefits, and Compliance. No paper, no headaches.","12,020",http://www.helloflock.com,https://www.linkedin.com/company/flock-www-helloflock-com-,success@helloflock.com,,"Chirag Bhatt, Raj Singh",Nov-50,2,Early Stage Venture,9/20/17,"$3,500,000 ",Series A,"$5,500,000 "
"Perlara, PBC",https://www.crunchbase.com/organization/perlstein-lab,"Biotechnology, Genetics, Medical, Pharmaceutical, Therapeutics","San Francisco, California, United States","Perlara, PBC is precision drug discovery that leaves no mutation behind.","12,028",https://www.perlara.com/,http://www.linkedin.com/company/perlstein-lab,info@perlara.com,415-952-0559,"Ethan Oren Perlstein, Henry Perlstein",10-Jan,6,Early Stage Venture,8/18/17,"$4,143,002 ",Series A,"$11,463,002 "
"ZypMedia, Inc.",https://www.crunchbase.com/organization/extendtv,"Advertising Platforms, Local Advertising","San Francisco, California, United States",The premier programmatic media buying platform for local advertising.,"12,055",http://www.zypmedia.com/,https://www.linkedin.com/company/3484916,rahuja@zypmedia.com,(415) 265-6407,"Aman Sareen, Mark Goldman, Ramandeep Ahuja",Nov-50,2,Early Stage Venture,4/30/15,"$4,424,998 ",Series B,"$6,924,998 "
"TruSignal, Inc.",https://www.crunchbase.com/organization/trusignal,"Advertising, Digital Marketing, Predictive Analytics","San Francisco, California, United States","We use offline data and predictive scoring to help brands, agencies and platforms accurately target people across channels and devices.","12,117",http://www.tru-signal.com,http://www.linkedin.com/company/trusignal,info@tru-signal.com,(415) 463-1600,David Dowhan,Nov-50,1,Early Stage Venture,10/12/17,"$5,000,000 ",Series A,"$5,000,000 "
BTCjam,https://www.crunchbase.com/organization/btcjam,"Bitcoin, Consumer Lending, Finance","San Francisco, California, United States","With $11 million dollars in loan volume and growing, BTCJam has served more than 100,000 users from over 200 countries.","12,193",http://btcjam.com,http://www.linkedin.com/company/btcjam,support@btcjam.com,,Celso Pitta,Nov-50,3,Early Stage Venture,10/29/15,"$1,900,000 ",Series A,"$9,200,000 "
mLab,https://www.crunchbase.com/organization/objectlabs,"Cloud Computing, Cloud Infrastructure, Software","San Francisco, California, United States",mLab is a cloud-based infrastructure company that builds software for developers and IT professionals.,"12,214",https://mlab.com/,,info@objectlabs.com,(415) 758-2748,"Angela Kung Shulman, Will Shulman",Nov-50,3,Early Stage Venture,10/1/12,"$5,000,000 ",Series B,"$8,000,000 "
